,dD,d17O,d18O,dxs,Cl,NO3,SO4,Na,K,Mg,Ca,Li,Rb,Sr,Y,Cd,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Tb,Gd,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,V,Cr,As,Mn,Co,Ni,Cu,Zn,Na,Mg,Al,P,Ca,Ti,Fe,S,K,Total Volume,Vol >4,Vol ratio >4,Vol >6,Vol ratio >6,Vol >8,Vol ratio >8,Vol >10,Vol ratio >10,Vol >12,Vol ratio >12,Vol <4,Vol ratio <4,Vol <6,Vol ratio <6,Vol <8,Vol ratio <8,Vol <10,Vol ratio <10,Vol <12,Mode Particle Size (µm)
CISO21,-294.96,0,-37.01,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO22,-294.42,0,-36.98,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO23,-293.47,0,-36.89,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO24,-293.29,0,-36.8,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO25,-293.03,0,-36.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO26,-292.69,0,-36.74,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO27,-292.57,0,-36.73,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CISO28,-291.59,0,-36.64,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC1,,,,,113.5968,31.6494,447.8344,330.738,1.9499,11.1026,79.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC2,,,,,125.7784,38.4252,270.1831,109.0991,0.8173,9.1282,92.7211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
